name,kd_org,id
Ilmu Komputer (Computer Science),01.00.12.01,60f4f2b38cd53dc0e3b371b9
Sistem Informasi (Information System),06.00.12.01,60f4f3068cd53dc0e3b371bc
Ilmu Komputer (Computer Science),09.00.12.01,60f4f3558cd53dc0e3b371bf
Ilmu Keperawatan (Nursing Science),01.00.13.01,60f4f74d8cd53dc0e3b371c6
Fisika (Physics),05.02.03.01,60f4fcfe8cd53dc0e3b371cb
Geografi (Geography),05.06.03.01,60f4fdf08cd53dc0e3b371ce
Sistem Informasi (Information System),08.00.12.01,60f505258cd53dc0e3b371d4
Farmasi (Pharmacy),01.00.17.01,60f510958cd53dc0e3b371df
Farmasi (Pharmacy),02.00.17.01,60f510f18cd53dc0e3b371e2
Psikologi (Psychology),07.00.08.01,60f517f18cd53dc0e3b371e4
Psikologi (Psychology),01.00.08.01,60f517fb8cd53dc0e3b371e6
Psikologi (Psychology),02.00.08.01,60f518008cd53dc0e3b371e8
Bisnis Islam (Islam Business),08.01.06.01,60f52149752be98a2e59f64f
Teknik Kimia (Chemical Engineering),07.06.04.01,60f53149752be98a2e59f659
Teknik Metalurgi & Material (Metalurgy & Material Engineering),06.04.04.01,60f56887752be98a2e59f664
Biologi (Biology),01.04.03.01,60f653ee752be98a2e59f66d
Ilmu Hukum (Law - Intl),07.00.05.01,60f6dc66752be98a2e59f683
Arsitektur (Architecture),01.05.04.01,60f7a5e7752be98a2e59f699
Teknik Perkapalan (Naval Engineering),02.02.04.01,60f7a661752be98a2e59f69c
Matematika (Mathematics),01.01.03.01,60f7c156752be98a2e59f6a3
Ilmu Hukum (Law),06.00.05.01,60f7cbe8752be98a2e59f6a6
Sastra Jerman (German),15.00.07.01,60f7ccc7752be98a2e59f6a9
Ilmu Hukum (Law),01.00.05.01,60f7d762752be98a2e59f6b4
Arkeologi (Archaeology),01.01.07.01,60f7d904752be98a2e59f6b8
Teknik Metalurgi - Intl (Metalurgy Engineering - Intl),03.04.04.01,60f7e3c7752be98a2e59f6bd
Sastra Cina (Chinese),11.00.07.01,60f7e59e752be98a2e59f6c4
Sastra Inggris (English),22.00.07.01,60f7e910752be98a2e59f6c9
Teknik Mesin (Mechanical Engineering),07.02.04.01,60f7ec69752be98a2e59f6cb
Biologi (Biology),05.04.03.01,60f7f43c752be98a2e59f6d1
Sastra Daerah untuk Sastra Jawa (Javanese),10.00.07.01,60f81284752be98a2e59f6dd
Teknik Sipil (Civil Engineering),01.01.04.01,60f83661752be98a2e59f6ec
Sastra Cina (Chinese),19.00.07.01,60f84e99752be98a2e59f6ef
Ilmu Administrasi Fiskal (Fiscal Administration),01.00.18.01,60f8db16752be98a2e59f6f7
Kesehatan Masyarakat (Public Health),01.00.10.01,60f8f1d7752be98a2e59f6fc
Ilmu Administrasi Fiskal (Fiscal Administration),04.00.18.01,60f8ffff752be98a2e59f700
Bahasa dan Kebudayaan Korea (Korean),18.00.07.01,60f9091d752be98a2e59f703
Ilmu Administrasi Niaga (Business Administration),06.00.18.01,60f90bfc752be98a2e59f706
Ilmu Administrasi Negara (Public Administration),05.00.18.01,60f90d50752be98a2e59f709
Sastra Rusia (Russian),16.00.07.01,60fa2cf4752be98a2e59f71f
Sastra Jepang (Japanese),12.00.07.01,60fa61ff752be98a2e59f726
Bahasa dan Kebudayaan Korea (Korean),27.00.07.01,60fa6668752be98a2e59f728
Sastra Jepang (Japanese),21.00.07.01,60fa6694752be98a2e59f72a
Sastra Belanda (Dutch),17.00.07.01,60fa6767752be98a2e59f72e
Sastra Inggris (English),13.00.07.01,60fa67ff752be98a2e59f736
Sastra Jerman (German),24.00.07.01,60fa68b1752be98a2e59f73d
Ilmu Sejarah (History),01.06.07.01,60fa68b4752be98a2e59f73f
Ilmu Perpustakaan (Library Science),05.03.07.01,60fa696e752be98a2e59f747
Geologi (Geology),07.02.03.01,60fa6e6d752be98a2e59f756
Sastra Perancis (French),14.00.07.01,60fa70a3752be98a2e59f75a
Teknik Elektro (Electrical Engineering),01.03.04.01,60faef5e752be98a2e59f764
Fisika (Physics),02.02.03.01,60fb5321752be98a2e59f767
Pendidikan Dokter (Medical Science),04.00.01.01,60fbdfd2752be98a2e59f771
Pariwisata (Cultural Tourism),11.00.15.01,60fbe010752be98a2e59f775
Ilmu Hubungan Internasional (International Relations),01.08.09.01,60fbe051752be98a2e59f776
Teknik Kimia - Intl (Chemical Engineering - Intl),03.06.04.01,60fbe9b1752be98a2e59f77d
Teknik Mesin (Mechanical Engineering),01.02.04.01,60fc0c27752be98a2e59f77f
Kimia (Chemistry),02.03.03.01,60fe23ef752be98a2e59f791
Geofisika (Geophysic),06.02.03.01,60fe423b752be98a2e59f799
Statistika (Statistic),04.01.03.01,60fe5517752be98a2e59f7a1
Geografi (Geography),01.06.03.01,60fe5556752be98a2e59f7a3
Matematika (Mathematics),03.01.03.01,60fe558e752be98a2e59f7a5
Ilmu Ekonomi (Economics International),02.01.06.01,60fe56d8752be98a2e59f7b3
Kimia (Chemistry),06.03.03.01,60fe60e3752be98a2e59f7c1
Akuntansi (Accounting),10.03.06.01,60fe84d7752be98a2e59f7c8
Ilmu Ekonomi (Economics),01.01.06.01,60ff952e752be98a2e59f7d2
Akuntansi (Accounting),02.03.06.01,60ffa422752be98a2e59f7d8
Manajemen (Management),01.02.06.01,60ffa4ec752be98a2e59f7da
Manajemen (Management - Intl),02.02.06.01,60ffa633752be98a2e59f7e3
Ilmu Komunikasi (Communication),02.01.09.01,6100f068752be98a2e59f7fb
Sosiologi (Sociology),01.04.09.01,6100f481752be98a2e59f7fe
Antropologi Sosial (Social Anthropology),02.07.09.01,6100f483752be98a2e59f800
Ilmu Komunikasi (Communication - Intl),07.01.09.01,6100f49f752be98a2e59f802
Ilmu Komunikasi (Communication),06.01.09.01,6100f49f752be98a2e59f804
Kriminologi (Criminology),01.05.09.01,6100f4b0752be98a2e59f808
Ilmu Politik (Political Science),01.02.09.01,6100f4b7752be98a2e59f80c
Ilmu Kesejahteraan Sosial (Social Welfare),01.06.09.01,6100f4b7752be98a2e59f80e
Teknik Lingkungan (Environment Engineering),02.01.04.01,61010f3d752be98a2e59f824
Teknik Komputer (Computer Engineering),02.03.04.01,61014312737501fdf91e855e
Ilmu Komputer (Computer Science - Intl),02.00.12.01,610146aa737501fdf91e8560
Teknik Kimia (Chemical Engineering),01.06.04.01,6101479c737501fdf91e8564
Teknologi Bioproses (Bioprocess Technology),06.06.04.01,61014e1d737501fdf91e8577
Teknik Mesin - Intl (Mechanical Engineering - Intl),04.02.04.01,61024557737501fdf91e8597
Arsitektur - Intl (Architecture - Intl),04.05.04.01,610245be737501fdf91e8599
Teknik Sipil - Intl (Civil Engineering - Intl),04.01.04.01,610245de737501fdf91e859c
Teknik Metalurgi & Material (Metalurgy & Material Engineering),01.04.04.01,6102474d737501fdf91e85a2
Teknik Industri (Industrial Engineering),04.07.04.01,610247b3737501fdf91e85a6
Arsitektur Interior (Interior Architechture),05.05.04.01,610247b8737501fdf91e85a8
Teknik Industri - Intl (Industrial Engineering - Intl),06.07.04.01,610247db737501fdf91e85ac
Teknik Sipil (Civil Engineering),07.01.04.01,6102486c737501fdf91e85b3
Teknik Elektro - Intl (Electrical Engineering - Intl),04.03.04.01,61024ba6737501fdf91e85ca
Teknik Industri (Industrial Engineering),01.07.04.01,610267e8737501fdf91e85ef
Studi Gizi (Nutrition),01.04.10.01,6103936d737501fdf91e8611
Kesehatan Lingkungan (Kesehatan Lingkungan),06.00.10.01,61039ea0737501fdf91e8615
Keselamatan dan Kesehatan Kerja (Keselamatan dan Kesehatan Kerja),xx.00.10.01,61039eba737501fdf91e8618
Sastra Arab (Arabic),08.00.07.01,61040ec8737501fdf91e8635
Ilmu Aktuaria (Actuarial Science),05.01.03.01,610539b58aadd383ec57d3d4
Kesehatan Masyarakat - Ekstensi (Public Health),02.00.10.01,61065e088aadd383ec57d414
Teknik Elektro (Electrical Engineering),10.03.04.01,61065e538aadd383ec57d41f
Akuntansi (Accounting - Intl),04.03.06.01,61065e6a8aadd383ec57d427
Pendidikan Dokter Gigi (Dental Education),01.00.02.01,61065edc8aadd383ec57d434
Keselamatan & Kesehatan Kerja (Occupational Health & Safety),02.06.10.01,61065f268aadd383ec57d43d
Sastra Arab (Arabic),20.00.07.01,61065f7b8aadd383ec57d44c
Sastra Perancis (French),23.00.07.01,61065fa38aadd383ec57d451
Ilmu Administrasi Niaga (Business Administration),03.00.18.01,6106601e8aadd383ec57d463
Ilmu Filsafat (Philosophy),01.02.07.01,610660578aadd383ec57d468
Sastra Indonesia (Indonesian),09.00.07.01,610660c18aadd383ec57d475
Ilmu Kesehatan Masyarakat (Public Health Science),03.00.10.01,610662a28aadd383ec57d484
Teknologi Informasi (Information Technology),04.00.12.01,6107b3548aadd383ec57d547
Ilmu Ekonomi Islam (Islam Economic Science),07.01.06.01,61084f6a8aadd383ec57d787
Ilmu Administrasi Negara (Public Administration),02.00.18.01,6108b40c8aadd383ec57d7c0
Arsitektur (Architecture),08.05.04.01,610a4dc48aadd383ec57d9c8
Ilmu Komputer (Computer Science),03.00.12.01,610c8aee6cb198c27f0d6148
Statistika (Statistic),06.01.03.01,610e99736cb198c27f0d654e
Komunikasi (Communication),06.00.15.01,610eb1756cb198c27f0d65e6
Geofisika (Geophysic),09.02.03.01,610f87b66cb198c27f0d67d0
Administrasi Keuangan & Perbankan (Finance & Banking Program),08.00.15.01,610f9a776cb198c27f0d68a8
Geologi (Geology),10.02.03.01,610fa5146cb198c27f0d6911
Ilmu Perpustakaan (Library Science),02.03.07.01,610fc0096cb198c27f0d6a05
Perencanaan & Kebijakan Publik (MPKP) (Planning & Public Policy),04.01.06.01,610fdc1b6cb198c27f0d6be2
Ilmu Politik (Political Science),03.02.09.01,610fde676cb198c27f0d6c1a
Teknik Sipil (Civil Engineering - Graduate),05.01.04.01,610fdeb46cb198c27f0d6c23
Administrasi Perpajakan (Taxation Program),10.00.15.01,610fe6766cb198c27f0d6d1a
Pendidikan Dokter Kelas Khusus Internasional (Medical Science),05.00.01.01,610fe8186cb198c27f0d6d4c
Administrasi Asuransi & Aktuaria (Insurance & Actuarial Program),07.00.15.01,610feb906cb198c27f0d6db7
Ilmu Manajemen (Management),04.02.06.01,611002426cb198c27f0d6fe2
Manajemen - Ekstensi (Management),03.02.06.01,6110d52aa4fd317044ab811b
Kenotariatan (Notary),04.00.05.01,6110dc5fa4fd317044ab815b
Fisioterapi (Physiotherapy),02.00.15.01,61112b8ba4fd317044ab83f9
Okupasi Terapi (Occupational Therapy),03.00.15.01,61127ab8a4fd317044ab8763
